doc_id	topic_0	topic_1
496	0.046558	0.953442
497	0.021514	0.978486
498	0.047386	0.952614
499	0.039307	0.960693
500	0.158428	0.841572
501	0.115443	0.884557
502	0.024868	0.975132
503	0.519262	0.480738
504	0.069561	0.930439
505	0.440006	0.559994
506	0.089558	0.910442
507	0.031870	0.968130
508	0.030839	0.969161
509	0.032442	0.967558
510	0.140957	0.859043
511	0.033194	0.966806
512	0.053389	0.946611
513	0.037772	0.962228
514	0.038700	0.961300
515	0.031021	0.968979
516	0.060020	0.939980
517	0.062359	0.937641
518	0.030151	0.969849
519	0.416494	0.583506
520	0.022196	0.977804
521	0.096948	0.903052
522	0.269328	0.730672
523	0.097647	0.902353
524	0.245251	0.754749
525	0.084686	0.915314
526	0.025104	0.974896
527	0.033465	0.966535
528	0.072841	0.927159
529	0.024189	0.975811
530	0.124167	0.875833
531	0.202313	0.797687
532	0.283951	0.716049
533	0.034082	0.965918
534	0.042166	0.957834
535	0.240192	0.759808
536	0.127605	0.872395
537	0.851550	0.148450
538	0.052698	0.947302
539	0.052029	0.947971
540	0.359316	0.640684
541	0.939279	0.060721
542	0.032531	0.967469
543	0.126441	0.873559
544	0.489769	0.510231
545	0.026518	0.973482
546	0.100610	0.899390
547	0.401086	0.598914
548	0.320613	0.679387
549	0.675936	0.324064
550	0.743917	0.256083
551	0.795822	0.204178
552	0.740167	0.259833
553	0.065971	0.934029
554	0.985040	0.014960
555	0.172280	0.827720
556	0.056225	0.943775
557	0.029120	0.970880
558	0.242078	0.757922
559	0.218784	0.781216
560	0.469981	0.530019
561	0.031378	0.968622
562	0.025731	0.974269
563	0.035869	0.964131
564	0.169893	0.830107
565	0.369790	0.630210
566	0.380619	0.619381
567	0.492959	0.507041
568	0.144110	0.855890
569	0.028544	0.971456
570	0.028033	0.971967
571	0.228952	0.771048
572	0.106644	0.893356
573	0.085107	0.914893
574	0.037619	0.962381
575	0.167602	0.832398
576	0.026453	0.973547
577	0.156167	0.843833
578	0.115934	0.884066
579	0.562133	0.437867
580	0.028229	0.971771
581	0.024851	0.975149
582	0.037274	0.962726
583	0.052655	0.947345
584	0.129283	0.870717
585	0.023718	0.976282
586	0.029741	0.970259
587	0.047064	0.952936
588	0.229927	0.770073
589	0.034991	0.965009
590	0.169459	0.830541
591	0.043611	0.956389
592	0.030819	0.969181
593	0.351516	0.648484
594	0.022125	0.977875
595	0.026149	0.973851
596	0.043713	0.956287
597	0.061469	0.938531
598	0.413304	0.586696
599	0.043416	0.956584
600	0.686709	0.313291
601	0.589215	0.410785
602	0.069448	0.930552
603	0.054331	0.945669
604	0.490698	0.509302
605	0.036450	0.963550
606	0.034741	0.965259
607	0.046109	0.953891
608	0.247777	0.752223
609	0.166756	0.833244
610	0.071811	0.928189
611	0.045807	0.954193
612	0.265309	0.734691
613	0.160647	0.839353
614	0.300923	0.699077
615	0.053427	0.946573
616	0.171710	0.828290
617	0.030199	0.969801
618	0.186567	0.813433
619	0.027976	0.972024
620	0.028435	0.971565
621	0.752425	0.247575
622	0.033003	0.966997
623	0.044249	0.955751
624	0.353049	0.646951
625	0.072173	0.927827
626	0.038304	0.961696
627	0.037444	0.962556
628	0.440474	0.559526
629	0.026492	0.973508
630	0.036123	0.963877
631	0.091947	0.908053
632	0.032506	0.967494
633	0.032392	0.967608
634	0.122716	0.877284
635	0.022952	0.977048
636	0.568292	0.431708
637	0.237182	0.762818
638	0.045260	0.954740
639	0.461874	0.538126
640	0.019962	0.980038
641	0.747990	0.252010
642	0.031012	0.968988
643	0.034708	0.965292
644	0.025823	0.974177
645	0.052989	0.947011
646	0.184899	0.815101
647	0.141570	0.858430
648	0.034626	0.965374
649	0.228924	0.771076
650	0.428939	0.571061
651	0.069194	0.930806
652	0.196573	0.803427
653	0.027732	0.972268
654	0.035770	0.964230
655	0.613969	0.386031
656	0.158899	0.841101
657	0.041748	0.958252
658	0.049730	0.950270
659	0.795280	0.204720
660	0.032521	0.967479
661	0.030719	0.969281
662	0.031601	0.968399
663	0.038660	0.961340
664	0.032729	0.967271
665	0.076580	0.923420
666	0.295718	0.704282
667	0.065801	0.934199
